Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Key words,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Sekiro Shadows Die Twice,77,90,-13,48%,"PS4,XB1,PC",PS4,2019,2019,2020,11,Tried,0,No,Activision-Blizzard,From Software,Sekiro,"Soulslike, action-rpg, third-person",,,,
A Plague Tale: Innocence,76,82,-6,45%,"PC, PS4, XB1",XBS,2019,2022,,8,Finished,1,No,Focus Home Interactive,Asobo Studio,A Plague Tale,"Third-person, linear, stealth, puzzles, story-driven, survival",,,,
Trials Rising,75,80,-5,42%,"PC, PS4, XB1, Switch",PS5,2019,2022,,9,Dropped,0,Yes,Ubisoft,RedLynx,Trials,"Racing (arcade), 2D, party",,,,
Risk of Rain 2,74,86,-12,39%,"PS4, XB1, PC",PS5,2019,2022,,6,Finished,,Yes,Gearbox Publishing,Hopoo Games,Risk of Rain,"Roguelike, third-person, shooter, multiplayer (co-op)",,,,
Dirt Rally 2.0,73,83,-10,36%,"PS4, XB1, PC",PS4,2019,2020,,14,Dropped,,No,Codemasters,Codemasters,Dirt,Racing (sim),,,,
The Legend of Zelda: Link's Awakening,73,87,-14,36%,Switch,Switch,2019,2019,,10,Finished,1,No,Nintendo,Nintendo,The Legend of Zelda,"Adventure, puzzles, top-down",,,,
Darksiders Genesis,72,79,-7,33%,"PC, PS4, XB1, Switch",PC,2019,2020,,12,Finished,1,No,THQ Nordic,Airship Syndicate,Darksiders,"Action-RPG, isometric, hack and slash",,,,
Cat Quest II,71,76,-5,30%,Switch,Switch,2019,2019,,4,Finished,1,No,Indie,The Gentlebros,Cat Quest,"Action-RPG, hack and slash, open-world, isometric, looter",,,,
Wargroove,69,83,-14,25%,"PC,Switch,PS4,XB1",Switch,2019,2019,2020,5,Dropped,0,No,Indie,Chucklefish,Wargroove,"Strategy, turn-based",,,,
GreedFall,68,75,-7,23%,"PS4,XB1,PC",PS4,2019,2019,,27,Finished,1,No,Focus Home Interactive,Spiders,GreedFall,"RPG, story-driven, third-person",,,,
Grid (2019),67,73,-6,20%,"PS4,XB1,PC",PS4,2019,2019,,34,Finished,,No,Codemasters,Codemasters,Grid,Racing (simcade),,,,
The Jackbox Party Pack 6,66,74,-8,19%,"PC, Switch, PS4, XB1",PC,2019,2019,2020,6,Finished,,No,Indie,Jackbox Studio,Jackbox,Party,,,,
Dicey Dungeons,66,82,-16,19%,PC,PC,2019,2020,,4,Tried,,No,Indie,Terry Cavanaugh,Dicey Dungeons,"Roguelike, strategy",,,,
Pokemon Sword,59,80,-21,9%,Switch,Switch,2019,2019,,35,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
The Outer Worlds,59,85,-26,9%,"PS4, XB1, PC",XBS,2019,2023,,2,Tried,0,No,Private Division,Obsidian Entertainment,The Outer Worlds,"RPG, first-person, stealth",,,,
Outer Wilds,58,86,-28,8%,"PC,XB1",XBS,2019,2021,,3,Tried,0,No,Annapurna,Mobius Digital,Outer Wilds,"Adventure, open-world, exploration, puzzles, first-person, survival",,,,
Unrailed!,58,75,-17,8%,"PC, PS4, XB1",PS4,2019,2020,,2,Dropped,,No,Indie,Indoor Astronaut,Unrailed!,"Party, action, top-down",,,,
Need For Speed Heat,54,72,-18,6%,"PS4, XB1, PC",PS4,2019,2020,,11,Dropped,0,No,EA,Ghost Games,Need for Speed,"Racing (arcade), open-world",,,,
Control,53,84,-31,5%,PS4,PS4,2019,2020,,7,Dropped,0,No,505 Games,Remedy Entertainment,Control,"Third-person, shooter, action, story-driven, horror",,,,
God of War (2018),99,94,5,99%,PS4,PS4,2018,2018,2022,59,Extra,2,No,Sony,Santa Monica Studio,God of War,"Hack and slash, third-person, story-driven",,,,
Red Dead Redemption 2,98,97,1,99%,"PS4,XB1",PS4,2018,2018,,77,Finished,1,No,Rockstar,Rockstar,Red Dead,"Third-person, cover-shooter, open-world, story-driven",,,,
Astro Bot Rescue Mission,94,90,4,94%,PS4,PS4,2018,2018,,7,Finished,1,No,Sony,Asobi Team,Astro Bot,"Platformer, VR, third-person",,,,
Celeste,94,91,3,94%,"PC, Switch, PS4",Switch,2018,2018,,10,Finished,1,No,Indie,Matt Makes Games,Celeste,"Platformer, 2D",,,,
Marvel's Spider-Man,93,87,6,92%,PS4,PS4,2018,2018,"2019, 2023",42,One-hundred,2,Yes,Sony,Insomniac,Marvel's Spider-Man,"Story-driven, open-world, superhero, platforming, third-person",,,,
Forza Horizon 4,92,92,0,90%,"PC, XB1",PC,2018,2018,2019,41,Extra,,Yes,Microsoft,Playground games,Forza,"Racing (simcade), open-world",,,,
Super Smash Bros. Ultimate,90,93,-3,84%,Switch,Switch,2018,2018,,43,Finished,1,No,Nintendo,Sora ltd.,Super Smash Bros.,"Fighting, 2D",,,,
Tetris Effect,89,89,0,81%,PS4,PS4,2018,2018,,11,Finished,,No,Enhance Games,"Monstars, Resonairs",Tetris,"Puzzle, rhythm",,,,
Dead Cells,86,89,-3,74%,"PC,PS4,XB1,Switch",XBS,2018,2021,,3,Tried,0,No,Indie,Motion Twin,Dead Cells,"2D, platforming, metroidvania, roguelike",,,,
Crosscode,85,86,-1,71%,PC,PC,2018,2020,,43,Finished,1,No,Indie,Radical Fish Games,Crosscode,"Action-RPG, isometric, puzzles, platforming",,,,
F1 2018,83,84,-1,65%,PS4,PS4,2018,2018,2019,82,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Overcooked 2,80,81,-1,57%,PS4,PS4,2018,2018,,9,Finished,1,No,Team17,Team17,Overcooked,"Multiplayer (co-op), simulation, puzzles, top-down",,,,
Gris,77,84,-7,48%,Switch,Switch,2018,2019,,4,Finished,1,No,Devolver Digital,Nomada Studio,Gris,"2D, platformer, adventure",,,,
Call of Duty Black Ops 4,76,85,-9,45%,PS4,PS4,2018,2018,2019,59,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,"First-person, shooter, multiplayer",,,,
Warhammer Vermentide 2,76,83,-7,45%,PC,PC,2018,2021,,9,Finished,1,No,Indie,Fatshark,Warhammer,"First-person, action",,,,
Monster Hunter World,76,89,-13,45%,"PS4, PC",PS5,2018,2021,,7,Dropped,0,Yes,Capcom,Capcom,Monster Hunter,"Action-RPG, third-person, multiplayer (co-op)",,,,
Moss PSVR,76,85,-9,45%,PS4,PS4,2018,2019,,3,Finished,1,No,Indie,Polyarc,Moss,"Adventure, puzzles, top-down",,,,
Pokemon Let's Go Pikachu,75,81,-6,42%,Switch,Switch,2018,2018,,20,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
Northgard,74,79,-5,39%,PC,PC,2018,2021,,15,Finished,1,No,Indie,Shiro Games,Northgard,Strategy (real-time),,,,
Wreckfest,74,80,-6,39%,PC,PS5,2018,2021,,12,Finished,,No,THQ Nordic,Bugbear Entertainment,Wreckfest,Racing (simcade),,,,
Parkitect,73,83,-10,36%,PC,PC,2018,2022,,34,Finished,,Yes,Indie,Texel Raptor,Parkitect,Simulation (management),,,,
Far Cry 5,73,82,-9,36%,"PS4, XB1, PC",XBS,2018,2022,,17,Finished,1,No,Ubisoft,Ubisoft Montreal,Far Cry,"First-person, shooter, open-world, stealth, story-driven",,,,
Fifa 19,70,81,-11,28%,PS4,PS4,2018,2019,,42,Finished,,No,EA,EA sports,Fifa,Sports (football),,,,
Detroit Become Human,69,78,-9,25%,PS4,PS4,2018,2018,,6,Finished,1,No,Sony,Quantic Dream,Detroit Become Human,"Adventure, interactive story, story-driven, third-person",,,,
Golf Peaks,68,75,-7,23%,"PC, mobile",Mobile,2018,2022,,3,Finished,1,No,Indie,Afterburn,Golf Peaks,Puzzle,,,,
Dragon Quest XI,67,86,-19,20%,PS4,PC,2018,2018,,26,Dropped,0,No,Square Enix,Square Enix,Dragon Quest,"JRPG, turn-based, third-person",,,,
Assassin's Creed Odyssey,67,85,-18,20%,PS4,PS4,2018,2018,,17,Dropped,0,No,Ubisoft,Ubisoft Quebec,Assassin's Creed,"RPG, open-world, third-person",,,,
Sea of Thieves,65,67,-2,17%,"XB1, PC",PC,2018,2020,,13,Dropped,,Yes,Microsoft,Rare,Sea of Thieves,"Open-world, sandbox, adventure, exploration, first-person",,,,
Mario Tennis Aces,65,78,-13,17%,Switch,Switch,2018,2018,,10,Finished,1,No,Nintendo,Camelot Software Planning,Mario Sports,Sports (tennis),,,,
Surviving Mars,63,77,-14,14%,"PS4, XB1, PC",PC,2018,2021,,2,Tried,,No,Paradox Interactive,Abstraction,Surviving Mars,Simulation (city-building),,,,
Shadow of the Colossus (Remake),62,92,-30,12%,PS4,PS4,2018,2018,,5,Dropped,0,No,Sony,Japan Studio,Shadow of the Colossus,"Adventure, exploration, open-world, third-person",,,,Bluepoint
For The King,56,75,-19,7%,PC,PC,2018,2021,,4,Tried,,No,Curve Digital,Ironoak Games,For The King,"Strategy, turn-based, RPG",,,,
The Crew 2,54,64,-10,6%,PS4,PS4,2018,2018,2019,12,Dropped,0,No,Ubisoft,Ivory Tower,The Crew,"Racing (arcade), open-world",50,,,
Octopath Traveller,53,83,-30,5%,Switch,Switch,2018,2018,,10,Dropped,0,No,Square Enix,Square Enix,Octopath,"JRPG, story-driven, top-down, turn-based",,,,
Farming Simulator 2019,45,64,-19,2%,"PC,PS4,XB1",PS4,2018,2020,,7,Tried,,No,Focus Home Interactive,GIANTS software,Farming Simulator,"Simulation (farming), third-person",,,,
The Legend of Zelda: Breath of the Wild,100,97,3,100%,"Switch,WiiU",Switch,2017,2017,"2018, 2023",143,Extra,1,Yes,Nintendo,Nintendo,The Legend of Zelda,"Adventure, open-world, sandbox, exploration, puzzles, third-person",,,,
Super Mario Odyssey,98,97,1,99%,Switch,Switch,2017,2017,,31,Extra,1,No,Nintendo,Nintendo,Super Mario (3D),"Platformer, collectathon, third-person",,,,
Horizon Zero Dawn,96,89,7,96%,PS4,PS4,2017,2017,,65,One-hundred,1,Yes,Sony,Guerrilla Games,Horizon,"Action, third-person, open-world, platforming, story-driven",,,,
Hollow Knight,94,90,4,94%,"PS4,XB1,Switch,PC",PC,2017,2020,,25,Finished,1,No,Indie,Team Cherry,Hollow Knight,"Platformer, metroidvania, soulslike, 2D",,,,
Uncharted The Lost Legacy,92,84,8,90%,PS4,PS4,2017,2017,2023,13,Extra,2,No,Sony,Naughty Dog,Uncharted,"Third-person, cover-shooter, story-driven, linear, puzzles, platforming, exploration",,88,2022,
Ys VIII Lacrimosa of Dana,90,85,5,84%,Vita,Switch,2017,2019,,35,Extra,1,No,NIS America,Nihon Falcom,Ys,"Action-RPG, JRPG, story-driven, third-person, hack and slash",,,,
Divinity Original Sin 2,89,93,-4,81%,PC,PC,2017,2017,2018,91,Finished,1,No,Indie,Larian studios,Divinity Original Sin,"RPG, isometric, turn-based",,,,
Persona 5,87,94,-7,76%,PS4,PS5,2017,2021,,57,Dropped,0,No,Atlus,P-Studio,Persona,"JRPG, monster collecting, story-driven, turn-based, third-person",,,,
F1 2017,84,86,-2,68%,PS4,PS4,2017,2017,2018,123,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Golf Story,84,78,6,68%,Switch,Switch,2017,2017,,15,Extra,1,No,Indie,Sidebar Games,Golf Story,"Sports (golf), puzzle, RPG, top-down",,,,
Assassin's Creed Origins,82,81,1,63%,PS4,PS4,2017,2017,,38,Finished,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,"Action-RPG, open-world, third-person, stealth",,,,
Mario + Rabbids Kingdom Battle,80,85,-5,57%,Switch,Switch,2017,2017,,25,Finished,1,No,Ubisoft,Ubisoft Milan,Mario + Rabbids,"Strategy, turn-based",,,,
Gran Turismo Sport,79,75,4,54%,PS4,PS4,2017,2018,"2019, 2020",112,Finished,,Yes,Sony,Polyphony Digital,Gran Turismo,Racing (sim),71,,,
Call of Duty WW2,77,79,-2,48%,PS4,PS4,2017,2017,2019,62,Finished,1,No,Activision-Blizzard,Sledgehammer Games,Call of Duty,"FPS, linear, multiplayer",,,,
Pyre,76,84,-8,45%,"PS4, PC",PC,2017,2021,,5,Dropped,0,No,Indie,Supergiant,Pyre,"Action-RPG, strategy, sports, story-driven",,,,
WipeOut Omega Collection,76,85,-9,45%,PS4,PS4,2017,2017,,13,Dropped,,No,Sony,Studio Liverpool,WipeOut,Racing (arcade),,,,
Cat Quest,70,72,-2,28%,Switch,Switch,2017,2017,,3,Finished,1,No,Indie,The Gentlebros,Cat Quest,"Action-RPG, hack and slash, open-world, isometric, looter",,,,
Nex Machina,68,84,-16,23%,"PS4,PC",PS4,2017,2020,,4,Dropped,0,No,Indie,Housemarque,Nex Machina,"Bullet-hell, roguelike, top-down",,,,
Nioh,65,88,-23,17%,PS4,PS5,2017,2023,,1,Tried,0,No,Koei Tecmo,Team Ninja,Nioh,"Soulslike, action-rpg, third-person, looter",,,,
Nier Automata,63,89,-26,14%,PS4,PS4,2017,2017,,11,Dropped,0,No,Square Enix,Platinum Games,Nier,"Action-RPG, hack and slash, open-world, story-driven, third-person",,,,
Prey,60,81,-21,11%,"PS4, XB1, PC",XBS,2017,2023,,7,Dropped,0,No,Bethesda,Arkane Studios,Prey,"First-person, stealth, RPG, survival, horror, immersive-sim",,,,
Luna,59,62,-3,9%,"PC, PS4",PC,2017,2023,,1,Finished,1,No,Indie,Funomena,Luna,Puzzle,,,,
Middle Earth: Shadow of War,57,79,-22,8%,PS4,PS4,2017,2017,,11,Dropped,0,No,Warner Bros,Monolith Productions,Middle Earth,"Action-RPG, open-world, story-driven, third-person",,,,
Doom VFR,24,70,-46,0%,PS4,PS4,2017,2019,,1,Tried,0,No,Bethesda,id Software,Doom,"First-person, shooter, VR",,,,
Uncharted 4 A Thief's End,94,93,1,94%,PS4,PS4,2016,2016,2022,38,Extra,2,Yes,Sony,Naughty Dog,Uncharted,"Third-person, cover-shooter, story-driven, linear, puzzles, platforming",,88,2022,
Forza Horizon 3,93,91,2,92%,"PC, XB1",PC,2016,2018,,15,Extra,,Yes,Microsoft,Playground games,Forza,"Racing (simcade), open-world",,,,
Titanfall 2,87,87,0,76%,"PS4,XB1,PC",PS4,2016,2019,,5,Finished,1,No,EA,Respawn,Titanfall,"First-person, shooter, linear, multiplayer",,,,
Civilization VI,86,88,-2,74%,PC,PC,2016,2016,2022,51,Finished,,No,2K Games,Firaxis,Civilization,"Strategy, turn-based",,,,
Pokemon Sun,83,87,-4,65%,3DS,3DS,2016,2016,,25,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
F1 2016,82,82,0,63%,PS4,PS4,2016,2016,2017,130,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Forza Motorsport 7,82,85,-3,63%,"XB1, PC",XBS,2016,2021,,53,Finished,,No,Microsoft,Turn 10 studios,Forza,Racing (simcade),,,,
Inside,81,91,-10,60%,"XB1, PS4, PC",PS5,2016,2023,,3,Finished,1,No,Indie,Playdead,Inside,"Puzzle, platforming, 2D",,,,
Overwatch,80,91,-11,57%,PS4,PS4,2016,2016,,68,Finished,,No,Activision-Blizzard,Blizzard,Overwatch,"First-person, shooter, multiplayer (arena)",,,,
Overcooked,80,80,0,57%,PS4,PS4,2016,2016,,23,Finished,1,No,Team17,Team17,Overcooked,"Multiplayer (co-op), simulation, puzzles, top-down",,,,
Stardew Valley,80,89,-9,57%,PS4,PS4,2016,2016,,20,Dropped,0,No,Indie,ConcernedApe,Stardew Valley,"Simulation (social), simulation (farming), RPG, top-down",,,,
Gears of War 4,80,84,-4,57%,"XB1, PC",XBS,2016,2021,,7,Finished,1,No,Microsoft,The Coalition,Gears,"Cover-shooter, linear, story-driven, third-person",,,,
Trackmania Turbo,78,81,-3,50%,PS4,PS4,2016,2016,2021,71,Extra,,No,Ubisoft,Nadeo,Trackmania,Racing (arcade),,,,
Ratchet & Clank,78,85,-7,50%,PS4,PS4,2016,2016,,14,Finished,1,No,Sony,Insomniac,Ratchet & Clank,"Platformer, action, story-driven, third-person",,,,
Call of Duty Infinite Warfare,77,77,0,48%,PS4,PS4,2016,2016,,14,Finished,1,No,Activision-Blizzard,Infinity Ward,Call of Duty,"First-person, shooter, multiplayer",,,,
Doom (2016),76,85,-9,45%,"PS4, XB1, PC",PS4,2016,2020,,9,Finished,1,No,Bethesda,id Software,Doom,"First-person, shooter, action",,,,
Hearts of Iron IV,75,83,-8,42%,PC,PC,2016,2017,"2018, 2019",74,Finished,,No,Paradox Interactive,Paradox,Paradox 4X,Strategy (real-time),,,,
Stellaris,72,81,-9,33%,PC,PC,2016,2020,,8,Tried,,Yes,Paradox Interactive,Paradox,Paradox 4X,Strategy (real-time),,,,
Ultimate Chicken Horse,72,79,-7,33%,"PC, PS4, XB1, Switch",PC,2016,2021,,2,Tried,,No,Indie,Clever Endeavour Games,Ultimate Chicken Horse,"2D, platformer, party",,,,
Battlefield 1,71,87,-16,30%,"PS4,XB1,PC",PS5,2016,2021,,10,Finished,1,No,EA,DICE,Battlefield,"First-person, shooter, multiplayer",,,,
Hyper Light Drifter,71,84,-13,30%,"PC, XB1, PS4",PC,2016,2022,,3,Dropped,0,No,Indie,Heart Machine,Hyper Light,"Action-RPG, isometric, adventure",,,,
Abzu,70,80,-10,28%,"PC, PS4",PC,2016,2020,,1,Finished,1,No,505 Games,Giant Squid Studios,Abzu,"Adventure, third-person",,,,
Motorsport Manager,69,81,-12,25%,PC,PC,2016,2016,2020,44,Finished,,No,Indie,Playsport Games,Motorsport Manager,Simulation (management),,,,
Watch Dogs 2,69,82,-13,25%,PS4,PS4,2016,2016,,24,Finished,1,No,Ubisoft,Ubisoft Montreal,Watch Dogs,"Open-world, stealth, third-person, cover-shooter",,,,
Clustertruck,68,76,-8,23%,PC,PC,2016,2022,2021,2,Dropped,0,No,Indie,Landfall Games,Clustertruck,"Platformer, action, puzzles, first-person",,,,
Kingdom New Lands,67,73,-6,20%,"PC, XB1, Switch",PC,2016,2020,,4,Finished,,No,Indie,Thomas van den Berg,Kingdom New Lands,"Strategy (real-time), tower-defense, simulation",,,,
Far Cry Primal,66,76,-10,19%,PS4,PS4,2016,2016,,22,Dropped,0,No,Ubisoft,Ubisoft Montreal,Far Cry,"First-person, open-world, stealth",,,,
Final Fantasy XV,65,81,-16,17%,PS4,PS4,2016,2016,,28,Finished,1,No,Square Enix,Square Enix,Final Fantasy,"Action-RPG, open-world, story-driven, third-person",,,,
Worms W.M.D,65,78,-13,17%,"PC, PS4, XB1",PC,2016,2022,,2,Tried,,No,Team17,Team17,Worms,"Strategy, multiplayer, 2D",,,,
Dragon Quest Builders,64,70,-6,15%,PS4,PS4,2016,2017,,12,Dropped,0,No,Square Enix,Square Enix,Dragon Quest,"Sandox, action-RPG, third-person",,,,
The Last Guardian,64,81,-17,15%,PS4,PS5,2016,2021,,3,Tried,0,No,Sony,Japan Studio,The Last Guardian,"Adventure, puzzle, story-driven, third-person",,,,
Human Fall Flat,61,68,-7,11%,PC,PC,2016,2020,,8,Finished,1,No,Curve Digital,Tomas Sakalauskas,Human Fall Flat,"Platformer, puzzle, multiplayer (co-op), third-person",,,,
Shoppe Keep,51,57,-6,4%,PC,PC,2016,2015,,8,Dropped,,No,Indie,Strange Fire Studios,Shoppe Keep,"Strategy (real-time), simulation (management)",,,,
VR Worlds,50,56,-6,3%,PS4,PS4,2016,2018,,5,Dropped,,No,Sony,London Studio,VR Worlds,"Compilation, first-person",,,,
Youtubers Life,46,63,-17,2%,PC,PC,2016,2016,,11,Finished,,No,Indie,U-Play Online,Youtubers Life,Simulation (life),,,,
Bloodborne,96,92,4,96%,PS4,PS4,2015,2015,2017,80,Finished,1,Yes,Sony,From Software,Souls,"Action-RPG, soulslike, third-person",,,,Japan Studio
Undertale,92,92,0,90%,PC,PC,2015,2015,,5,Finished,1,No,Indie,Nate Fox,Undertale,"RPG, story-driven, puzzles, top-down, turn-based",,,,
Rocket League,90,85,5,84%,PS4,PS4,2015,2015,"2016, 2017, 2018, 2019, 2020, 2022, 2023",564,One-hundred,,Yes,Indie,Psyonix,Rocket League,"Multiplayer (arena), sports",,,,
Cities Skylines,88,85,3,79%,PC,PC,2015,2015,"2016, 2019, 2020, 2021, 2023",366,Extra,,Yes,Paradox Interactive,Colossal Order,Cities Skylines,Simulation (city-building),83,,,
Rise of the Tomb Raider ,88,86,2,79%,XB1,PS4,2015,2020,,26,Finished,1,No,Square Enix,Crystal Dynamics,Tomb Raider,"Third-person, cover-shooter, story-driven, platforming, puzzles",,,,
Batman Arkham Knight,85,87,-2,71%,PS4,PS4,2015,2015,2023,46,Finished,2,No,Warner Bros,Rocksteady,Batman,"Third-person, open-world, superhero, platforming, story-driven",,,,
OlliOlli 2: Welcome to Olliwood,83,85,-2,65%,PS4,PS4,2015,2015,,23,Extra,1,No,Devolver Digital,Roll7,OlliOlli,"Sport (skatebording), 2D, platformer",,,,
Halo 5: Guardians,83,84,-1,65%,XB1,XBS,2015,2022,,6,Finished,1,No,Microsoft,343 industries,Halo,"First-person, shooter, linear, multiplayer",,,,
Assassin's Creed Syndicate,78,76,2,50%,PS4,PS4,2015,2015,,41,Finished,1,No,Ubisoft,Ubisoft Quebec,Assassin's Creed,"Stealth, open-world, platforming, third-person, story-driven",,,,
Ori and The Blind Forest,77,89,-12,48%,"XB1,PC",PC,2015,2020,,7,Finished,1,No,Microsoft,Moon Studios,Ori,"2D, platformer, metroidvania",,,,
The Order 1886,77,63,14,48%,PS4,PS4,2015,2015,,8,One-hundred,1,No,Sony,Ready at Dawn,The Order,"First-person, cover-shooter, linear, story-driven, horror",,,,
Call of Duty Black Ops III,75,81,-6,42%,PS4,PS4,2015,2015,,94,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,"Multiplayer, first-person, shooter, linear",,,,
Prison Architect,74,80,-6,39%,"PC, PS4, XB1",PC,2015,2015,2019,24,Finished,,Yes,Indie,Introversion Software,Prison Architect,Simulation (management),,,,
Crypt of the Necrodancer,73,87,-14,36%,PC,PC,2015,2022,,1,Tried,0,No,Indie,Brace Yourself Games,Necrodancer,"Rythm, roguelike, top-down",,,,
The Witcher 3,70,92,-22,28%,"PS4,XB1,PC",PS4,2015,2015,,16,Dropped,0,No,CD Projekt,CD Projekt Red,The Witcher,"RPG, open-world, story-driven, third-person",,,,
Star Wars Battlefront,69,73,-4,25%,PS4,PS4,2015,2015,,42,Finished,,No,EA,DICE,Star Wars,"First-person, shooter, multiplayer",,,,
Apotheon,67,76,-9,20%,PS4,PS4,2015,2015,,30,One-hundred,1,No,Indie,Alientrap,Apotheon,"2D, platformer, action",,,,
Just Cause 3,63,73,-10,14%,PS4,PS4,2015,2017,,3,Tried,0,No,Square Enix,Avalanche Studios,Just Cause,"Action, open-world, sandbox, third-person",,,,
Project Cars,62,75,-13,12%,PS4,PS4,2015,2016,,7,Tried,,No,Bandai Namco,Slightly Mad Studios,Project Cars,Racing (sim),,,,
F1 2015,58,65,-7,8%,PS4,PS4,2015,2015,2016,90,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Big Pharma,56,64,-8,7%,PC,PC,2015,2015,,6,Dropped,,No,Indie,Twice Circled,Big Pharma,"Simulation (management), strategy (real-time)",,,,
Clicker Heroes,51,57,-6,4%,"PC, PS4, XB1",PC,2015,2017,2018,44,Dropped,,No,Indie,Playsaurus,Clicker Heroes,Idle,,,,
Mario Kart 8,94,88,6,94%,WiiU,Switch,2014,2017,"2018, 2022, 2023",68,One-hundred,,Yes,Nintendo,Nintendo,Mario Kart,Racing (kart),92,92,2017,
Driveclub,93,71,22,92%,PS4,PS4,2014,2014,"2015, 2016",452,One-hundred,,Yes,Sony,Evolution studios,Driveclub,Racing (simcade),78,,,
Dragon Age Inquisition,92,89,3,90%,"PS4, XB1, PC",PS4,2014,2014,2015,287,One-hundred,2,Yes,EA,BioWare,Dragon Age,"RPG, open-world, story-driven, third-person",,,,
Bayonetta 2,90,91,-1,84%,WiiU,Switch,2014,2022,,8,Finished,1,No,Nintendo,Platinum Games,Bayonetta,"Action, hack and slash, third-person",,90,2018,
Transistor,86,83,3,74%,PS4,PS4,2014,2014,,16,One-hundred,1,No,Indie,Supergiant,Transistor,"Action-RPG, isometric, hack and slash, story-driven",,,,
Tales From the Borderlands,86,86,0,74%,PS4,PS4,2014,2017,,6,One-hundred,1,No,2K Games,Telltale,Borderlands,"Interactive story, story-driven, third-person",,,,
Watch Dogs,84,77,7,68%,PS4,PS4,2014,2014,,100,One-hundred,1,No,Ubisoft,Ubisoft Montreal,Watch Dogs,"Open-world, stealth, story-driven, third-person, cover-shooter",,,,
inFAMOUS Second Son,81,80,1,60%,PS4,PS4,2014,2014,,46,One-hundred,1,No,Sony,Sucker Punch,inFAMOUS,"Open-world, sandbox, third-person, superhero, story-driven",,,,
Assassin's Creed Unity,81,70,11,60%,PS4,PS4,2014,2014,,61,Extra,1,Yes,Ubisoft,Ubisoft Montreal,Assassin's Creed,"Stealth, open-world, platforming, third-person, story-driven",,,,
Far Cry 4,79,85,-6,54%,PS4,PS4,2014,2014,,72,One-hundred,1,No,Ubisoft,Ubisoft Montreal,Far Cry,"First-person, shooter, open-world, stealth, story-driven",,,,
Middle Earth Shadow of Mordor,79,84,-5,54%,PS4,PS4,2014,2014,,36,Finished,1,No,Warner Bros,Monolith Productions,Middle Earth,"Third-person, open-world, action, story-driven",,,,
Call of Duty Advanced Warfare,78,83,-5,50%,PS4,PS4,2014,2014,,160,Finished,1,No,Activision-Blizzard,Sledgehammer Games,Call of Duty,"First-person, shooter, multiplayer, linear",,,,
Pokemon Omega Ruby,78,83,-5,50%,3DS,3DS,2014,2014,,25,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, turn-based, top-down",,,,
Trials Fusion,76,79,-3,45%,"PC, PS4, XB1",PS5,2014,2022,,8,Finished,1,No,Ubisoft,RedLynx,Trials,"Racing (arcade), 2D, platforming, party",,,,
Destiny,74,76,-2,39%,"PS3, X360, PS4, XB1",PS4,2014,2014,,167,Finished,1,No,Activision-Blizzard,Bungie,Destiny,"First-person, shooter, multiplayer, open-world, looter",,,,
Borderlands The Pre-Sequel,74,75,-1,39%,PS4,PS4,2014,2014,,30,Finished,1,No,2K Games,Gearbox,Borderlands,"First-person, shooter, action-rpg, open-world, looter",,,,
Dungeon of the Endless,74,79,-5,39%,PC,PC,2014,2021,,14,Finished,,No,Indie,Amplitude Studios,Dungeon of the Endless,"Roguelike, strategy (tower-defense)",,,,
Football Manager 2015,73,80,-7,36%,PC,PC,2014,2014,2015,98,Extra,,No,SEGA,Sports Interactive,Football Manager,"Sports (football), simulation (management)",,,,
Infamous First Light,71,73,-2,30%,PS4,PS4,2014,2014,,8,One-hundred,1,No,Sony,Sucker Punch,inFAMOUS,"Open-world, sandbox, third-person, superhero, story-driven",,,,
The Crew,70,61,9,28%,PS4,PS4,2014,2016,,26,Finished,1,No,Ubisoft,Ivory Tower,The Crew,"Racing (arcade), open-world",,,,
Assassin's Creed Rogue,70,72,-2,28%,"PS3, X360",PS4,2014,2019,,12,Finished,1,No,Ubisoft,Ubisoft Sofia,Assassin's Creed,"Stealth, open-world, platforming, third-person",,71,2018,
Velocity 2X,70,85,-15,28%,"PS4, XB1, PC",PS4,2014,2014,,6,Dropped,0,No,Indie,FuturLab,Velocity 2X,"Bullet-hell, shoot 'em up, 2D",,,,
Endless Legend,68,82,-14,23%,PC,PC,2014,2015,,8,Finished,,No,SEGA,Amplitude Studios,Endless Legend,Strategy (turn-based),,,,
